FID,Area,Crop,FieldCropPrice,SavedWater,Recharge,Kitfox,TiptonKRat,GiantGarterSnake,TNC,HabCorridors,ConservationAreas,ImpBirdAreas,Nitrate,ModSAGBI,Prox2Wetlands,Depth2GroundWater
213,8.04296811,AlfalfaandAlfalfaMixtures,8957.051436,40.858278,941.5260585,100,0,0,0,0,100,0,100,5,0,10
218,54.73321194,AlfalfaandAlfalfaMixtures,60953.64148,278.0447167,1329.419319,100,100,100,0,4,100,0,86.66666667,0,100,5
275,44.55805995,AlfalfaandAlfalfaMixtures,49622.08346,226.3549445,5216.056312,100,100,20,0,0,100,0,84.44444444,97,0,20
276,40.56633509,AlfalfaandAlfalfaMixtures,45176.69907,206.0769823,4748.776954,100,100,0,0,0,100,0,46.66666667,0,0,20
281,19.55818028,AlfalfaandAlfalfaMixtures,21780.96747,99.35555582,1343.993518,100,100,0,0,0,0,0,80,16.33333333,0,20
296,44.90019913,AlfalfaandAlfalfaMixtures,50003.10676,228.0930116,3160.508574,100,100,100,0,0,100,100,94.44444444,0,100,20
302,13.33114103,AlfalfaandAlfalfaMixtures,14846.22521,67.72219643,1618.149742,100,100,0,0,0,100,0,84.44444444,0,0,10
311,6.64177672,AlfalfaandAlfalfaMixtures,7396.614644,33.74022574,682.4120065,100,100,0,0,0,100,22,51.11111111,0,100,20
325,77.83662103,AlfalfaandAlfalfaMixtures,86682.75301,395.4100348,8274.707962,100,100,0,0,0,100,0,84.44444444,0,99,20
345,29.46061801,AlfalfaandAlfalfaMixtures,32808.81725,149.6599395,4850.597413,100,100,0,0,100,100,0,80,0,100,20
352,73.35347793,AlfalfaandAlfalfaMixtures,81690.1007,372.6356679,5439.322514,100,100,0,0,0,100,100,56.66666667,54.5,100,20
360,33.39674212,AlfalfaandAlfalfaMixtures,37192.28186,169.65545,2294.947908,100,100,100,0,0,100,0.5,100,0,0,0
379,59.34038699,AlfalfaandAlfalfaMixtures,66084.42197,301.4491659,1441.323359,100,100,100,0,0,100,0,100,0,100,15
384,73.65555303,AlfalfaandAlfalfaMixtures,82026.50663,374.1702094,5061.441525,100,100,0,69,0,100,100,87.40740741,91,100,15
402,32.09232407,AlfalfaandAlfalfaMixtures,35739.6167,163.0290063,779.4930008,100,100,100,0,0,100,0,100,28,100,20
413,78.47972367,AlfalfaandAlfalfaMixtures,87398.94427,398.6769962,5392.947523,100,100,0,100,0,100,100,85.55555556,98,100,7.333333333
415,71.25341777,AlfalfaandAlfalfaMixtures,79351.3687,361.9673623,1698.105691,100,100,100,0,0,100,0,100,58,100,5
432,38.71557474,AlfalfaandAlfalfaMixtures,43115.59981,196.6751197,2660.445949,100,100,0,0,0,47.5,0,76.66666667,87,0,20
458,47.83297037,AlfalfaandAlfalfaMixtures,53269.18745,242.9914895,5599.423929,100,100,0,0,0,100,98.5,95.55555556,98,0,10
460,35.75497731,AlfalfaandAlfalfaMixtures,39818.53048,181.6352847,2516.779759,100,100,0,18.5,0,0,0,66.66666667,0,100,15
478,57.40559498,AlfalfaandAlfalfaMixtures,63929.74085,291.6204225,1394.329042,100,100,100,0,0,100,0,95.55555556,98,100,15
486,40.51631359,AlfalfaandAlfalfaMixtures,45120.99263,205.822873,2784.188613,100,100,0,44,0,100,100,86.66666667,0,83,10
494,76.69139869,AlfalfaandAlfalfaMixtures,85407.37615,389.5923053,5377.452696,100,71.5,0,0,0,0,0,70,0,0,15
523,59.86053837,AlfalfaandAlfalfaMixtures,66663.68856,304.0915349,1689.778573,100,0,0,0,0,0,0,0,0,100,20
556,4.45096329,AlfalfaandAlfalfaMixtures,4956.815268,22.61089351,615.8529082,100,100,0,0,0,0,0,88.88888889,3,0,10
580,31.99698272,AlfalfaandAlfalfaMixtures,35633.43981,162.5446722,5268.201827,100,100,0,0,0,0,0,91.11111111,97,0,15
583,53.97714756,AlfalfaandAlfalfaMixtures,60111.65038,274.2039096,6548.581717,100,100,0,0,0,100,0,77.77777778,0,0,10
586,3.42979957,AlfalfaandAlfalfaMixtures,3819.596291,17.42338182,401.4992511,100,100,0,0,0,100,0,90,96,0,20
588,73.73470192,AlfalfaandAlfalfaMixtures,82114.65079,374.5722858,9030.405291,100,100,0,0,0,0,0,84.44444444,44.5,0,10
646,34.17493672,AlfalfaandAlfalfaMixtures,38058.91828,173.6086785,2405.561281,100,100,0,0,0,0,0,85.18518519,0,87,16.66666667
669,154.2591188,AlfalfaandAlfalfaMixtures,171790.6677,783.6363235,14497.13886,100,100,0,0,0,0,0,77.77777778,96.5,0,20
679,70.37509475,AlfalfaandAlfalfaMixtures,78373.22427,357.5054813,5042.038749,100,0,0,0,0,100,0,78.88888889,75,100,20
692,59.1674766,AlfalfaandAlfalfaMixtures,65891.86032,300.5707811,4164.777011,100,100,0,0,0,0,0,61.11111111,2.5,100,20
696,70.14710657,AlfalfaandAlfalfaMixtures,78119.32523,356.3473014,1703.808626,100,100,100,0,0,100,0,100,86,100,15
761,45.04123445,AlfalfaandAlfalfaMixtures,50160.17075,228.809471,5207.508907,100,100,0,0,0,0,0,86.66666667,95,0,20
791,64.27209863,AlfalfaandAlfalfaMixtures,71576.62264,326.502261,1561.110093,100,100,100,0,18,100,0,88.88888889,0,100,7.5
796,9.00954418,AlfalfaandAlfalfaMixtures,10033.47888,45.76848443,218.8335321,100,100,100,100,0,100,100,48.88888889,0,100,20
816,35.48518189,AlfalfaandAlfalfaMixtures,39518.07281,180.264724,2438.460724,100,100,0,0,0,100,100,60,63,100,20
834,47.89168548,AlfalfaandAlfalfaMixtures,53334.57553,243.2897622,3368.564361,100,100,0,0,0,31,0,88.88888889,5.5,0,20
851,78.03679582,AlfalfaandAlfalfaMixtures,86905.67766,396.4269228,5362.510532,100,100,0,100,0,100,100,78.88888889,98,100,7
867,48.55583462,AlfalfaandAlfalfaMixtures,54074.20522,246.6636399,5684.043873,100,100,0,0,0,100,0,64.44444444,98,0,20
871,65.61890967,AlfalfaandAlfalfaMixtures,73076.49875,333.3440611,7681.481831,100,100,0,0,0,100,0,94.44444444,0,0,5
887,32.96922192,AlfalfaandAlfalfaMixtures,36716.17399,167.4836474,2320.691458,100,100,0,0,0,100,100,66.66666667,99,100,20
903,18.37124549,AlfalfaandAlfalfaMixtures,20459.13754,93.32592709,2433.06047,100,100,0,0,0,0,0,33.33333333,32,100,20
908,38.99892466,AlfalfaandAlfalfaMixtures,43431.15245,198.1145373,2745.120025,100,100,0,0,0,100,100,70,99,100,20
912,72.7520391,AlfalfaandAlfalfaMixtures,81020.30834,369.5803586,7967.610525,100,100,0,100,0,100,100,64.44444444,40.66666667,0,15
922,83.89782294,AlfalfaandAlfalfaMixtures,93432.81052,426.2009405,10805.856,100,100,0,0,0,0,0,96.66666667,0,100,11
986,35.60106671,AlfalfaandAlfalfaMixtures,39647.12794,180.8534189,5861.602838,100,100,0,0,0,100,0,22.22222222,63,0,20
988,74.64570894,AlfalfaandAlfalfaMixtures,83129.19376,379.2002014,5129.48278,100,100,100,0,0,0,0,93.33333333,52,0,17
1018,47.31147817,AlfalfaandAlfalfaMixtures,52688.42766,240.3423091,6636.575874,100,100,0,0,0,100,0,62.22222222,89,0,20
1023,52.81043871,AlfalfaandAlfalfaMixtures,58812.34507,268.2770286,4763.534635,100,100,100,0,0,100,0,100,0,100,10
1044,77.45100008,AlfalfaandAlfalfaMixtures,86253.30624,393.4510804,5473.336474,100,100,100,0,0,45,0,94.44444444,26,35.5,15
1048,75.12438389,AlfalfaandAlfalfaMixtures,83662.27012,381.6318702,6261.506931,100,100,0,0,0,0,0,93.33333333,0,0,7.5
1052,1.9238031,AlfalfaandAlfalfaMixtures,2142.443322,9.772919748,225.204269,100,100,0,0,0,0,0,88.88888889,51,0,10
1054,103.0719453,AlfalfaandAlfalfaMixtures,114786.0719,523.6054821,12451.97815,100,100,0,0,0,100,0,85.55555556,0,0,5
1077,39.58969441,AlfalfaandAlfalfaMixtures,44089.06318,201.1156476,2720.513458,100,100,0,0,0,38,93,91.11111111,91,0,20
1107,74.46838588,AlfalfaandAlfalfaMixtures,82931.71794,378.2994003,8717.419357,100,100,0,42.33333333,0,27,0,83.7037037,7.333333333,0,20
1121,69.28233114,AlfalfaandAlfalfaMixtures,77156.26807,351.9542422,8008.358327,100,100,100,0,0,100,0,81.11111111,61,100,15
1129,77.14304579,AlfalfaandAlfalfaMixtures,85910.35294,391.8866726,8804.381683,100,0,0,0,0,97.5,0,77.77777778,6.5,100,20
1141,76.71628696,AlfalfaandAlfalfaMixtures,85435.09297,389.7187378,5271.768176,100,100,0,0,0,0,0,12.22222222,0,0,15
1146,152.6483946,AlfalfaandAlfalfaMixtures,169996.8846,775.4538446,19001.5273,100,100,0,0,0,0,0,93.33333333,0,0,5
1180,77.02864177,AlfalfaandAlfalfaMixtures,85782.94691,391.3055002,1179.495619,100,100,100,0,0,100,0,95.55555556,50,100,8.333333333
1192,74.85891138,AlfalfaandAlfalfaMixtures,83366.62666,380.2832698,5144.133565,100,100,0,0,0,100,0,88.88888889,87,0,20
1198,75.17288094,AlfalfaandAlfalfaMixtures,83716.27886,381.8782352,8799.888966,100,100,0,0,0,100,0,42.22222222,0,0,7
1201,74.01325483,AlfalfaandAlfalfaMixtures,82424.86124,375.9873345,5984.199859,100,100,10,100,0,100,0,82.22222222,90,0,20
1212,38.97184377,AlfalfaandAlfalfaMixtures,43400.99381,197.9769664,4562.122586,100,100,0,0,0,100,0,68.88888889,0,0,20
1214,138.4154217,AlfalfaandAlfalfaMixtures,154146.3344,703.1503422,3361.983139,100,100,100,0,0,100,7,97.77777778,0,100,20
1240,77.87751436,AlfalfaandAlfalfaMixtures,86728.29387,395.6177729,1855.970625,100,100,100,0,0,100,0,96.66666667,87,100,5
1265,35.47335132,AlfalfaandAlfalfaMixtures,39504.8977,180.2046247,4340.583968,100,100,0,0,0,100,0,89.62962963,4.5,0,5
1268,42.0455425,AlfalfaandAlfalfaMixtures,46824.01841,213.5913559,2959.570339,100,100,0,0,100,100,0,51.11111111,98,79,20
1322,30.05881251,AlfalfaandAlfalfaMixtures,33474.99655,152.6987676,4381.366283,100,100,0,0,0,100,0,97.77777778,67,0,10
1325,110.3752139,AlfalfaandAlfalfaMixtures,122919.357,560.7060866,12920.74502,100,100,0,0,0,100,0,84.44444444,0,0,14.5
1351,37.54349683,AlfalfaandAlfalfaMixtures,41810.31524,190.7209639,2642.672993,100,100,0,24.5,0,0,0,73.33333333,0,100,15
1371,16.99840895,AlfalfaandAlfalfaMixtures,18930.27813,86.35191747,1168.091873,100,100,100,0,0,100,100,82.22222222,95,100,20
1376,69.47541757,AlfalfaandAlfalfaMixtures,77371.29878,352.9351213,7420.999901,100,100,0,0,0,0,0,87.77777778,52.5,0,20
1403,40.23157074,AlfalfaandAlfalfaMixtures,44803.88875,204.3763794,2997.700536,100,100,0,0,0,100,100,56.66666667,94.66666667,100,20
1469,73.07309904,AlfalfaandAlfalfaMixtures,81377.85675,371.2113431,361.6515967,100,100,0,100,0,100,100,91.11111111,59,100,5
1483,38.29937012,AlfalfaandAlfalfaMixtures,42652.09353,194.5608002,4239.925169,100,100,0,0,0,0,0,88.88888889,77,0,20
1485,18.46306357,AlfalfaandAlfalfaMixtures,20561.39074,93.79236294,3039.88492,100,28.5,0,0,0,100,0,42.22222222,67,100,20
1506,73.71692543,AlfalfaandAlfalfaMixtures,82094.85401,374.4819812,8903.481587,100,100,100,0,0,100,0,81.48148148,87.5,0,20
1530,30.13789365,AlfalfaandAlfalfaMixtures,33563.06526,153.1004997,3528.002578,100,100,0,0,0,100,0,77.77777778,98,0,20
1531,47.81690246,AlfalfaandAlfalfaMixtures,53251.29342,242.9098645,1161.42853,100,100,100,0,0,100,0,97.77777778,0,100,5
1559,106.6901267,AlfalfaandAlfalfaMixtures,118815.4596,541.9858436,11889.57988,100,100,0,0,0,100,0,25.18518519,6.333333333,77.66666667,20
1560,80.99393241,AlfalfaandAlfalfaMixtures,90198.89283,411.4491766,247.2374266,100,100,100,0,0,100,100,88.88888889,12,100,10
1568,53.40325551,AlfalfaandAlfalfaMixtures,59472.5355,271.288538,3759.035599,100,100,0,1,0,100,0,35.55555556,0,100,10
1576,2.04599288,AlfalfaandAlfalfaMixtures,2278.519971,10.39364383,239.5080509,100,100,0,0,0,100,0,86.66666667,0,0,3.5
1588,37.54892878,AlfalfaandAlfalfaMixtures,41816.36454,190.7485582,4605.527992,100,0,0,0,0,100,0,100,53,0,10
1594,104.3008232,AlfalfaandAlfalfaMixtures,116154.6118,529.8481819,12209.6646,100,84.5,100,0,0,0,0,77.77777778,12,100,10.5
1607,34.32231067,AlfalfaandAlfalfaMixtures,38223.04128,174.3573382,2083.285708,100,100,100,0,0,100,100,73.33333333,76,47,20
1613,51.24036197,AlfalfaandAlfalfaMixtures,57063.82911,260.3010388,0,100,100,0,100,0,100,100,91.11111111,52,100,12
1616,77.37111626,AlfalfaandAlfalfaMixtures,86164.34362,393.0452706,6820.524465,100,100,0,0,0,100,100,84.44444444,44.6,23.25,10
1625,76.46655264,AlfalfaandAlfalfaMixtures,85156.97635,388.4500874,5254.607004,100,100,0,100,0,100,100,82.22222222,98,100,15
1651,74.25306454,AlfalfaandAlfalfaMixtures,82691.92532,377.2055679,6114.8441,100,100,0,0,0,0,0,97.77777778,29,0,18.5
1685,79.3319395,AlfalfaandAlfalfaMixtures,88348.01442,403.0062527,9286.756744,100,100,0,0,0,100,0,68.88888889,2.666666667,0,20
1693,36.09122359,AlfalfaandAlfalfaMixtures,40192.99115,183.3434158,2539.136839,100,100,0,100,0,11.5,0,76.66666667,1,100,15
1696,77.85766345,AlfalfaandAlfalfaMixtures,86706.1869,395.5169303,5350.200964,100,100,0,100,0,100,100,85.55555556,98,100,8.5
1731,78.81913109,AlfalfaandAlfalfaMixtures,87776.92534,400.4011859,1878.411159,100,100,100,0,0,99,0,97.77777778,74.66666667,100,5
1758,75.6406823,AlfalfaandAlfalfaMixtures,84237.24584,384.2546661,8854.650739,100,100,0,100,0,100,98,65.55555556,1.5,0,18.33333333
1773,17.15889672,AlfalfaandAlfalfaMixtures,19109.00533,87.16719534,2246.019588,100,100,0,0,0,100,0,61.11111111,83,0,20
1778,26.12061775,AlfalfaandAlfalfaMixtures,29089.22596,132.6927382,723.8296599,100,100,0,100,0,100,100,73.33333333,98,100,15
1781,52.20474148,AlfalfaandAlfalfaMixtures,58137.81035,265.2000867,5896.956169,100,100,0,100,0,100,0,80.55555556,87,100,12
1782,78.23675478,AlfalfaandAlfalfaMixtures,87128.36196,397.4427143,9158.552213,100,100,0,0,0,0,0,93.33333333,0,100,13
1824,10.06940803,AlfalfaandAlfalfaMixtures,11213.79625,51.15259279,983.1191941,100,100,0,0,0,0,0,73.33333333,2,0,20
1826,121.8586068,AlfalfaandAlfalfaMixtures,135707.8375,619.0417225,10056.86054,100,100,100,23,0,93,2.333333333,82.22222222,33,100,12.66666667
1829,31.50741182,AlfalfaandAlfalfaMixtures,35088.22917,160.057652,2545.991211,100,100,0,0,0,100,100,64.44444444,97.5,100,10
1853,79.90750288,AlfalfaandAlfalfaMixtures,88988.99058,405.9301146,7656.141051,100,0,0,0,0,100,0,77.77777778,54,100,20
1858,63.85253351,AlfalfaandAlfalfaMixtures,71109.37394,324.3708702,6730.122569,100,100,0,0,0,0,0,35.55555556,0,100,5
1866,117.8498099,AlfalfaandAlfalfaMixtures,131243.4408,598.6770343,8098.370008,100,100,100,0,0,100,0,66.66666667,0,100,15
1871,36.63321054,AlfalfaandAlfalfaMixtures,40796.57492,186.0967095,4113.254653,100,100,0,0,0,53.5,0,68.88888889,12,0,20
1882,6.6692807,AlfalfaandAlfalfaMixtures,7427.244452,33.87994596,780.7194417,100,100,0,0,0,100,0,0,93,100,20
1889,29.39651333,AlfalfaandAlfalfaMixtures,32737.42707,149.3342877,2020.061314,100,100,0,0,0,100,100,91.11111111,91,0,20
1891,36.97665546,AlfalfaandAlfalfaMixtures,41179.05235,187.8414097,0,100,100,0,100,0,100,100,100,51,100,18.5
1914,16.97173351,AlfalfaandAlfalfaMixtures,18900.57102,86.21640623,2794.342149,100,100,0,0,0,100,0,84.44444444,0,0,5
1922,108.5715904,AlfalfaandAlfalfaMixtures,120910.7516,551.5436792,12668.01351,100,100,0,0,0,100,0,75.55555556,98,0,20
1934,122.7278361,AlfalfaandAlfalfaMixtures,136675.8547,623.4574074,2924.839867,100,100,100,0,0,100,100,97.77777778,87,100,5
1973,8.33805225,AlfalfaandAlfalfaMixtures,9285.671888,42.35730543,1372.833885,100,0,0,0,0,0,0,84.44444444,63,0,20
1976,26.94182686,AlfalfaandAlfalfaMixtures,30003.76548,136.8644804,3153.864559,100,100,0,0,0,48.25,0,62.22222222,17.5,0,20
1978,60.25469885,AlfalfaandAlfalfaMixtures,67102.64537,306.0938702,1463.531152,100,100,100,0,0,100,0,77.77777778,0,100,10
1991,68.94968991,AlfalfaandAlfalfaMixtures,76785.82217,350.2644247,4738.06535,100,100,0,23,0,100,0,53.33333333,87,0,20
1994,24.15452737,AlfalfaandAlfalfaMixtures,26899.68941,122.704999,1717.586698,100,100,0,0,0,0,0,86.66666667,6,0,20
2012,35.82337065,AlfalfaandAlfalfaMixtures,39894.69672,181.9827229,3947.402519,100,100,0,0,0,0,0,95.55555556,0,0,20
2037,7.15552144,AlfalfaandAlfalfaMixtures,7968.746452,36.35004892,491.7111044,100,100,0,0,0,0,0,78.88888889,0,0,20
2063,37.86224192,AlfalfaandAlfalfaMixtures,42165.28571,192.340189,2601.806865,100,100,100,0,0,26,0,42.22222222,0,100,5
2082,78.87739959,AlfalfaandAlfalfaMixtures,87841.81605,400.6971899,10361.56701,100,100,0,0,0,100,0,80,75.5,0,20
2087,25.5819607,AlfalfaandAlfalfaMixtures,28489.35053,129.9563604,4211.988778,100,100,0,0,0,79,0,100,0,0,5
2104,65.74726682,AlfalfaandAlfalfaMixtures,73219.44369,333.9961154,5242.044698,100,100,100,0,0,100,0,88.88888889,42,100,15
2118,17.81184317,AlfalfaandAlfalfaMixtures,19836.15915,90.4841633,2085.090264,100,100,0,0,0,0,0,88.88888889,95,0,20
2124,67.00483939,AlfalfaandAlfalfaMixtures,74619.93939,340.3845841,1368.745907,100,100,0,100,0,100,100,91.11111111,59,100,5
2161,38.69489084,AlfalfaandAlfalfaMixtures,43092.56518,196.5700455,2723.719196,100,100,0,1,0,17,0,86.66666667,0,100,15
2190,20.13806838,AlfalfaandAlfalfaMixtures,22426.75985,102.3013874,1383.842105,100,100,0,0,0,0,0,97.77777778,52,0,20
2197,51.33732723,AlfalfaandAlfalfaMixtures,57171.81447,260.7936223,4975.145832,100,100,0,100,0,100,0,86.66666667,79,100,12.33333333
2217,76.03103013,AlfalfaandAlfalfaMixtures,84671.9567,386.2376331,5671.897049,100,100,100,0,0,20.5,0,93.33333333,49,86.5,15.5
2235,54.2485094,AlfalfaandAlfalfaMixtures,60413.85249,275.5824278,6350.439857,100,100,0,0,0,100,0,80,98,100,20
2236,37.43467308,AlfalfaandAlfalfaMixtures,41689.12368,190.1681392,4382.178286,100,100,0,0,0,100,0,40,0,0,8.5
2261,74.10767467,AlfalfaandAlfalfaMixtures,82530.0119,376.4669873,8403.423888,100,100,0,100,0,100,100,66.66666667,3.5,0,16
2271,78.36646034,AlfalfaandAlfalfaMixtures,87272.80856,398.1016185,6013.491158,100,100,0,0,0,100,0,75.55555556,0,0,10
2277,17.35041771,AlfalfaandAlfalfaMixtures,19322.29268,88.14012197,2031.07487,100,100,0,0,0,0,0,100,0,100,10
2293,75.60076152,AlfalfaandAlfalfaMixtures,84192.78807,384.0518685,2636.581914,100,100,0,100,0,100,100,92.22222222,67,100,10
2329,77.36168872,AlfalfaandAlfalfaMixtures,86153.84464,392.9973787,7900.146038,100,100,4,100,7,100,20.66666667,50,71,100,13
2340,70.30227725,AlfalfaandAlfalfaMixtures,78292.13106,357.1355684,3808.284492,100,100,0,100,0,100,100,93.33333333,86,100,5
2358,73.4826463,AlfalfaandAlfalfaMixtures,81833.94905,373.2918432,8270.974636,100,100,0,5,0,0,0,73.33333333,6,0,20
2363,113.9645899,AlfalfaandAlfalfaMixtures,126916.6655,578.9401167,11890.17189,100,100,0,0,0,0,0,95.55555556,0,0,20
2368,37.32774455,AlfalfaandAlfalfaMixtures,41570.04272,189.6249423,3533.474021,100,100,0,0,0,100,100,68.88888889,0,100,20
2371,32.23534428,AlfalfaandAlfalfaMixtures,35898.89116,163.7555489,0,100,100,0,100,0,100,100,98.88888889,51,100,15
2378,77.42609051,AlfalfaandAlfalfaMixtures,86225.5657,393.3245398,8995.414842,100,100,20,32.25,0,100,0,88.14814815,87,0,20
2422,56.0887116,AlfalfaandAlfalfaMixtures,62463.19367,284.9306549,6570.81231,100,100,0,0,0,100,0,76.66666667,0,0,10
2452,24.24383722,AlfalfaandAlfalfaMixtures,26999.14932,123.1586931,2838.032453,100,0,38,0,0,14,0,97.77777778,2,0,10
2459,114.2723826,AlfalfaandAlfalfaMixtures,127259.4389,580.5037036,2775.57095,100,100,100,0,0,100,0,97.77777778,0,100,20
2467,69.75047729,AlfalfaandAlfalfaMixtures,77677.61903,354.3324246,4909.710554,100,100,0,0,0,0,0,85.18518519,0,87,16.66666667
2487,157.6082531,AlfalfaandAlfalfaMixtures,175520.4311,800.6499257,3828.15934,100,100,100,0,0,100,0,100,20,100,20
2488,10.00419234,AlfalfaandAlfalfaMixtures,11141.1688,50.82129709,1171.11092,100,100,75,0,0,100,0,0,98,100,20
2490,99.77064444,AlfalfaandAlfalfaMixtures,111109.5782,506.8348738,11679.35274,100,100,100,0,0,0,0,82.22222222,24,100,11
2500,74.73325082,AlfalfaandAlfalfaMixtures,83226.68478,379.6449142,8748.424981,100,100,0,100,0,100,100,63.33333333,21.5,5,15
2530,36.76096571,AlfalfaandAlfalfaMixtures,40938.84946,186.7457058,2526.129677,100,100,0,0,0,0,0,83.33333333,0,0,20
2550,78.21011153,AlfalfaandAlfalfaMixtures,87098.69071,397.3073666,5107.367495,100,100,100,0,0,100,1,95.55555556,26,100,15
2554,79.04783417,AlfalfaandAlfalfaMixtures,88031.62052,401.5629976,9400.918596,100,0,0,0,0,100,0,100,0,0,10
2583,78.01328769,AlfalfaandAlfalfaMixtures,86879.49784,396.3075015,7781.917257,100,100,100,14,0,100,0,65.55555556,87.33333333,0,20
2592,75.79750334,AlfalfaandAlfalfaMixtures,84411.88959,385.051317,5695.146957,100,100,0,0,0,0,0,4.444444444,12,100,20
2606,30.84631184,AlfalfaandAlfalfaMixtures,34351.99518,156.6992641,3620.43604,100,100,0,0,0,37.5,0,62.22222222,17.5,0,20
2641,92.98347352,AlfalfaandAlfalfaMixtures,103551.0453,472.3560455,2258.482952,100,100,100,0,3,100,0,86.66666667,0,100,11
2647,27.48796459,AlfalfaandAlfalfaMixtures,30611.97177,139.6388601,1934.867763,100,100,0,42,0,17,0,77.77777778,0,100,20
2688,14.18658344,AlfalfaandAlfalfaMixtures,15798.88865,72.06784388,1660.710053,100,100,0,0,0,100,0,70,0,0,10
2698,73.72195863,AlfalfaandAlfalfaMixtures,82100.45923,374.5075498,1790.638491,100,72,0,0,0,100,0,23.33333333,0,100,20
2724,27.15181842,AlfalfaandAlfalfaMixtures,30237.62258,137.9312376,183.9718668,100,100,100,0,0,100,100,95.55555556,32.5,100,0.5
2744,131.9467749,AlfalfaandAlfalfaMixtures,146942.5259,670.2896165,15445.95543,100,100,0,0,0,100,0,84.44444444,0,0,13.25
2767,45.01683341,AlfalfaandAlfalfaMixtures,50132.99653,228.6855137,7411.878993,100,100,0,0,0,54,0,62.22222222,85,0,20
2773,79.55500504,AlfalfaandAlfalfaMixtures,88596.43136,404.1394256,3098.560373,100,100,100,71.5,0,100,100,93.33333333,6,100,15
2811,51.66740376,AlfalfaandAlfalfaMixtures,57539.4042,262.4704111,519.3699902,100,100,0,100,0,100,100,100,57,100,10
2826,128.5514401,AlfalfaandAlfalfaMixtures,143161.3113,653.0413157,3063.627526,100,100,100,0,0,100,99.5,58.22222222,39.75,100,5
2840,146.0444875,AlfalfaandAlfalfaMixtures,162642.4435,741.9059965,16995.24698,100,100,0,0,0,100,0,57.77777778,0,100,12
2847,2.26442927,AlfalfaandAlfalfaMixtures,2521.781657,11.50330069,265.0786551,100,0,100,0,0,0,0,80,31,0,10
2848,2.28200869,AlfalfaandAlfalfaMixtures,2541.358978,11.59260415,159.0088107,100,100,100,0,0,0,0,100,0,100,10
2857,151.4135609,AlfalfaandAlfalfaMixtures,168621.7121,769.1808894,10657.9451,100,100,84,0,100,0.5,0,42.22222222,0,100,20
2867,77.11144855,AlfalfaandAlfalfaMixtures,85875.16468,391.7261586,1837.713807,100,100,100,0,0,100,0,97.77777778,87,100,5
2878,12.75372038,AlfalfaandAlfalfaMixtures,14203.1807,64.78889953,1702.073784,100,100,0,0,0,0,0,71.11111111,63.5,0,20
2902,26.23338949,AlfalfaandAlfalfaMixtures,29214.81421,133.2656186,3070.933451,100,0,0,0,38,100,0,71.11111111,62,100,20
2952,29.34821729,AlfalfaandAlfalfaMixtures,32683.64219,149.0889438,4027.538815,100,100,0,0,0,100,0,65.18518519,7,0,10
2967,31.03036789,AlfalfaandAlfalfaMixtures,34556.9692,157.6342689,3632.477413,100,100,0,0,0,100,0,57.77777778,0,0,20
2971,76.78249064,AlfalfaandAlfalfaMixtures,85508.8207,390.0550525,9892.474698,100,100,0,0,0,3.5,0,6.666666667,44.75,0,20
2983,38.1532685,AlfalfaandAlfalfaMixtures,42489.38747,193.818604,4466.298516,100,100,0,0,0,100,0,84.44444444,96,0,14.5
3012,92.39364105,AlfalfaandAlfalfaMixtures,102894.1784,469.3596965,10114.14281,100,0,0,0,0,80,0,14.07407407,0,100,20
