FID_Tulare_fields,TNC,Krat,Kitfox,Corridors,CPAD
284,0,0,0,0,8.898159293
285,0,0,0,0,0
286,0,0,20.22257423,0,74.89842308
287,0,0,0,6.795076005,0
288,0,0,0.543299947,0,0
289,0,0,6.223991199,0,0
290,0,0,0,0,0
291,0,0,0,16.37831952,0
292,0,0,0,0,10.46340159
293,0,0,0,0,0
294,0,0,0.895417964,0,0
295,0,0,0,0,0
296,0,0,0,0,0.349433361
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0.284827854,0
301,0,0,0,0,0
302,0,0,0,0,0
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,40.59212048
316,0,0,0,0,0
317,0,0,3.691692339,0,0
318,0,0,0,0,0
319,0,0,0,0,23.53100544
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,13.62337805,0,0
324,0,0,12.0073715,0,72.7719485
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,5.241228791
328,0,0,0,0,0
329,0,0,0,0,26.32361847
330,0,0,0,37.37050544,0
331,0,0,0,0,0
332,0,0,8.925747995,0,0
333,0,0,0,0,4.216826927
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,5.614677659,0
341,0,0,0.18169343,0,0
342,0,0,0,0,36.19209996
343,0,0,0,0,0
344,0,0,0.172432709,0,0
345,0,0,0,3.116735599,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,14.03375954
349,0,0,0,0,0
350,0,0,18.7462172,0,70.74044228
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,1.583412693
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0.282991023,0,0
363,0,0,0,6.883782572,0
364,0,0,0,8.21860406,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0.08733176,0,0
369,0,0,0,0,9.243825337
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,1.811831155
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,1.42431098
376,0,0,3.311493565,0,0
377,0,0,0,0,0
378,0,0,0.148739474,0,0
379,0,0,0,0,7.205479642
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0.093369495,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0.461892823,0,0
387,0,0,0,0,0
388,0,0,0,0,7.874833167
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,12.41485862,12.41485862
392,0,0,0,0,0
393,0,0,0,2.184303988,2.184303988
394,0,0,0.059798006,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0.573960819,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0.376955792,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,15.28359945
408,0,0,0,0,0
409,0,0,0,0,0
410,3.987257927,0,0,0,0
411,0,0,14.39628752,0,55.37033662
412,0,0,0.359003621,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,2.157089661
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,0
424,0,0,29.29120968,0,55.26643335
425,0,0,0,0,0
426,0,0,8.84446053,0,0
427,0,0,0,0,5.982832078
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,14.87763055
432,0,0,0,5.226668033,0
433,0,0,0,0,0
434,0,0,0,0,3.792801432
435,0,0,0,0,0
436,0,0,0.025515694,0,0
437,0,0,13.39642663,0,38.27550495
438,0,0,0,0,0
439,0,0,8.315350549,0,0
440,0,0,0,0,0
441,0,0,0,37.07839799,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,8.200311761
448,0,0,0,0,0
449,0,0,17.40344375,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,7.412932138
453,0,0,0,0,0
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,57.24166285,0
457,0,0,1.08740962,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,9.59345117,0,0
463,0,0,33.65175034,0,0
464,0,0,0.577809733,0,57.78097326
465,0,0,0,0,16.67897922
466,0,0,0,0,52.78009114
467,0,0,0,0,0
468,0,0,9.787594662,0,18.1251753
469,0,0,0,0,5.489691139
470,0,0,0,0,0
471,0,0,0,0,0
472,0,0,0,0,0
473,0,0,0,0,1.380201955
474,0,0,0,0,0
475,0,0,0,0,6.512558246
476,0,0,0,0,5.957964335
477,0,0,0,0,19.48442587
478,0,0,0,0,0
479,0,0,0,4.660266961,4.660266961
480,0,0,9.295555804,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,38.2289363,0
485,0,0,0,0,0
486,0,0,0,1.054892819,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,5.940109397
494,0,0,21.65470243,0,74.67138768
495,0,0,0,0,4.134062098
496,0,0,0,3.920992629,0
497,0,0,0,0,0
498,0,0,0.75890683,0,0
499,0,0,0,15.06350766,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,5.312091263,0,0
503,0,0,0,0,8.219623666
504,0,0,0,0,0
505,0,0,0,0,0
506,16.210978,0,6.8061358,0,0
507,0,0,0,0,0
508,0,0,0,0,16.42571284
509,0,0,0,0,6.520026424
510,46.52459577,0,0,0,75.95852371
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,14.42700798,0,0
517,0,0,0,0,0
518,0,0,10.2428823,0,30.54241266
519,0,0,0,0,0
520,0,0,0,0,0
521,0,0,0,0,2.516050437
522,0,0,0,0,0
523,0,0,0,0,5.757614965
524,0,0,3.01502539,0,75.37563475
525,0,0,0.373998548,0,74.79970966
526,0,0,60.04945614,0,0
527,0,0,4.740650001,11.851625,0
528,0,0,0,0,0
529,0,0,0,0,0
530,0,0,11.94361568,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,0.134201425,0,0
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,9.401970709,0,36.1614258
539,0,0,0.539951348,0,35.99675654
540,0,0,0,0,0
541,0,0,0.370588836,0,0
542,0,0,0,0,0
543,0,0,0,0,0
544,0,0,0,0,0
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,3.673589729
552,0,0,0,0,0
553,0,0,0,4.479195948,2.866685407
554,0,0,0.083041934,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,150.6037073
558,0,0,0,0,13.18735608
559,0,0,0,0,7.658777883
560,0,0,0,0,0
561,0,0,0,0,37.2504948
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,16.3970033
569,0,0,0,0,31.27773036
570,0,0,2.308854434,0,35.52083744
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,0,0,0,0,0
577,0,0,0,0,0
578,0,0,21.64101619,0,0
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0.399319445,0,0
582,0,0,0,0,0
583,0,0,0.156083074,0,31.2166147
584,0,0,0,0,14.00079923
585,0,0,6.824954908,0,0
586,0,0,0,3.238183695,0
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,3.957884864,0,14.65883283
590,0,0,0,0,0
591,0,0,0.361585791,0,72.31715816
592,0,0,0,0,2.255637736
593,0,0,0,0,0
594,0,0,0,3.18188928,3.18188928
595,0,0,1.295112743,0,8.931812021
596,0,0,0,0,0
597,0,0,0,0,14.51724117
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,1.886624674
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,20.08272546,0,0
604,0,0,0,0,0
605,0,0,9.7340703,0,18.02605611
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,0
609,0,0,0,0,0
610,0,0,0,4.003802395,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,3.90723282,0,0
616,0,0,0,4.198166982,0
617,0,0,83.78941927,0,0
618,0,0,0,0,8.567731649
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,3.12329659,0,12.41606793
625,0,0,0,0,6.192491885
626,0,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,4.9057846,0
630,0,0,0,0,0
631,0,0,0,0,7.904101818
632,0,0,11.57695305,0,0
633,0,0,0.204142958,0,25.92615565
634,0,0,0,0,0
635,0,0,0,0,26.94546598
636,0,0,0,0,0
637,0,0,0,4.510708578,0
638,0,0,0.394874311,0,0
639,0,0,0,75.3467197,0
640,0,0,4.011639019,0,0
641,0,0,0,0,0
642,0,0,0,0,0
643,0,0,0,0,0
644,2.828467772,0,0,0,2.828467772
645,0,0,0,0,0
646,0,0,0,0,0
647,0,0,21.00218128,0,40.13155659
648,0,0,0,0,0
649,0,0,0,0,0
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,0,9.462001775
658,0,0,2.165344479,0,0
659,0,0,0,0,0
660,0,0,0,0,0
661,0,0,0,0,0
662,0,0,10.6694915,0,53.25046214
663,0,0,0,2.178537585,0
664,0,0,10.64187711,0,0
665,0,0,0,0,0
666,0,0,0.505929913,0,0
667,0,0.039601428,0.099003569,0,0
668,0,0,0,0,0
669,0,0,0,74.04080055,0
670,0,0,0.650643533,0,0
671,0,0,0,0,0
672,0,0,12.52610933,55.67159704,0
673,0,0,2.284350636,0,0
674,0,0,0,0,55.35067047
675,0,0,0,0,0
676,0,0,0,0,0
677,0,0,0,0,0
678,0,0,0.115092374,0,0
679,0,0,0,0,0
680,0,0,0,0,0
681,0,0,0,0,0
682,0,0,1.306852954,0,5.561076399
683,0,0,0,0,0
684,0,0,0,0,0
685,0,0,0,0,0
686,0,0,0,0,0
687,0,0,0.547131354,0,0
688,0,0,0,0,0
689,0,0,3.607030417,0,18.49759188
690,0,0,0,7.327681453,0
691,0,0,0,0,17.48273947
692,0,0,0,0,0
693,0,0,0.480779945,0,0
694,0,0,25.96089834,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,0,0,0,0,0
699,0,0,0,0,0
700,0,0,0,9.421383743,0
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,3.109738307,0
704,0,0,0,0,5.068207884
705,0,0,0,0,0
706,0,0,0,0,17.13664369
707,0,0,0.561711789,0,7.489490524
708,0,0,0,0,11.63702055
709,0,0,0,0,0
710,2.970424913,0,0,0,2.970424913
711,0,0,0,24.71251621,0
712,0,0,0,0,18.19683675
713,0,0,0.096696264,0,0
714,0,0,0,0,0
715,0,0,0.200744288,0,1.204465726
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,38.01844035,0,143.4658127
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,27.25983323
722,0,0,0,0,3.505521789
723,0,28.05771129,33.55922331,0,0.91691867
724,0,0,0,0,21.34252234
725,0,0,0,81.3591904,0
726,0,0,0.48909731,0,0
727,0,0,0,0,0
728,0,0,9.617685752,0,0
729,0,0,0,14.99556921,0
730,0,0,0,0,0
731,0,0,0,0,2.116327405
732,0,0,0,0,0
733,0,0,0,0,17.15424882
734,0,0,0,0,0
735,0,0,0,0,0
736,0,0,0,8.017259958,0
737,0,0,11.80922423,0,10.719142
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,33.03013291
741,0,0,0,0,6.042665778
742,0,0,0,0,0
743,0,0,0,3.974071104,3.974071104
744,0,0,0,10.46420784,0
745,0,0,0,0,8.164263383
746,0,0,0,0,17.78658211
747,0,0,0,0,0
748,0,0,4.981157565,0,17.78984845
749,0,0,0,0,0
750,0,0,14.09661629,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,5.858976835,0
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,7.636023803,0,0
757,0,0,0,0,0
758,0,0,22.23854978,0,75.38491451
759,35.06727465,0,0,0,35.06727465
760,0,0,0,0,9.10340617
761,0,0,0,0,0
762,0,0,0.5510748,0,0
763,0,0,0,0,0
764,0,53.06177932,65.34459861,0,110.0540608
765,0,0,0.358260509,0,0
766,0,0,3.314411606,0,0
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,6.761860917,6.761860917
773,0,0,0.115142277,23.02845545,11.89803532
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,32.29032435,0,0
780,0,0,0,0,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,0,0,3.430542323
784,0,0,1.780283362,0,0
785,0,0,0,0,0
786,0,0,0,0,0
787,0,0,0,0,0
788,0,0,0,0,9.156476134
789,0,0,0,0,0
790,0,0,0,4.72830861,0
791,0,0,0,0,1.104981556
792,0,0,0,0.20363472,1.3575648
793,0,0,18.80712954,0,0
794,0,0,0,0,0
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,0
798,0,0,1.513239191,0,64.8531082
799,0,0,1.253943271,0,0
800,0,0,0,0.88367135,0.88367135
801,0,0,11.67347967,0,0
802,0,0,0,0,0
803,0,0,0,0,8.007244554
804,0,0,0,0,0
805,0,0,0,0,0
806,0,0,0,0,0
807,0,0,5.816023714,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,10.24454958,0,0
811,0,0,0,0,1.279864387
812,0,0,0,0,36.69725432
813,0,0,0,0,0
814,0,0,0.055544348,0,3.702956508
815,0,0,0.337557545,33.7557545,0
816,0,0,0,0,0
817,0,0,0,0,0
818,0,0,1.16588273,0,0
819,0,0,0,0,35.92796131
820,0,0,0,0,0
821,0,0,6.602280308,0,30.7082805
822,0,0,0,0,0
823,0,0,0,0,0
824,0,0,0,0,0
825,0,0,0,0,0
826,0,0,84.73676288,0,155.9572323
827,3.17058852,0,0,0,4.803922
828,0,0,1.575170752,0,9.8448172
829,0,0,4.192148805,0,0
830,0,0,0.389670837,0,77.93416735
831,0,0,0,36.26537016,0
832,0,0,0,0,0
833,0,0,0.440287939,0,0
834,0,0,0,0,0
835,0,0,0,0,0
836,0,0,5.92188315,0,0
837,0,0,22.11359197,0,0
838,0,0,0,6.602155987,0
839,0,0,0,0,0
840,0,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,0,0,0,0,0
844,0,0,3.532840915,0,0
845,0,0,0,0,0
846,0,0,0,0,0
847,0,0,0,0,0
848,0,0,0,0,5.803904097
849,0,0,0,0,0
850,0,0,0,0,11.68920021
851,0,0,0,0,6.639534261
852,0,0,9.937098055,0,18.40203344
853,0,0,0.989257262,0,0
854,0,0,24.84685764,0,0
855,0,0,0.470924777,0,18.83699106
856,11.39511028,0,0,0,0
857,0,0,0,0,0
858,0,0,0.208048992,0,0
859,0,0,0,0,0
860,0,0,0,0,0
861,0,0,0,0,0
862,0,0,0,0,0
863,0,0,2.281208652,0,0
864,0,0,0,0,0
865,0,0,0,0,0
866,29.47310302,0,12.41948366,0,0
867,0,0,0,0,10.78465739
868,0,0,0,0,0
869,0,0,0.418902084,0,0
870,0,0,0,0,0
871,0,0,0,9.836158544,9.245989031
872,0,0,2.455263175,0,0
873,0,0,0,73.07517368,0
874,0,0,0,0,0
875,0,0,0.084422884,0,0
876,0,0,0,0,0
877,0,0,0,0,0
878,0,0,0,0,0
879,0,0,0,0,0
880,0,0,0,0,0
881,0,0,0,0,0
882,0,0,0,0,0
883,0,0,0,15.82090955,12.18210036
884,0,0,0,0,3.547515714
885,0,0,0,0,2.276561058
886,0,0,0,0,0
887,0,0,0,0,0
888,0,0,0,0,55.87210133
889,0,0,0,0,0
890,0,0,0,9.958720703,9.958720703
891,0,0,0,0,0
892,0,0,0,9.570940876,0
893,0,0,0,0,0
894,0,0,0,0,0
895,0,0,0.967831053,8.065258775,0
896,0,0,17.52126466,27.52031098,27.52031098
897,0,0,0,0,0
898,0,0,0,0,0
899,0,0,0,0,0
900,0,0,0,0,0
901,0,0,10.53289717,0,0
902,0,0,0,0,0
903,0,0,0.129363806,8.624253759,0
904,0,0,0,0,0
905,0,0,0,0,0
906,0,0,0,0,0
907,0,0,0.375404038,37.54040381,0
908,0,0,0,0,0
909,0,0,0,0,0
910,0,0,1.313627063,0,0
911,0,0,0,0,0
912,0,0,0,2.908603026,0
913,0,0,0,0,0
914,0,0,0,0,2.270636689
915,0,0,0,3.01128342,11.43525349
916,0,0,0,0,2.824277505
917,0,0,0,0,0
918,0,0,0,3.04419785,0
919,0,0,0,0,0
920,0,0,0,0,0
921,0,0,13.27960567,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,0,0,0,0,0
927,0,0,0.413767242,0,0
928,0,0,0,0,0
929,0,0,0,0,0
930,0,0,0,0,222.2550166
931,0,0,0,0,0
932,0,0,0,0,4.44800554
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,0
936,0,0,1.680456712,0,0
937,0,0,4.259453301,0,10.62097446
938,0,0,9.399457422,0,0
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0.20060643,0,30.09096444
942,0,0,0,2.790342092,0
943,0,0,1.185846454,0,29.64616136
944,0,0,0,0,0
945,0,0,0,0,0
946,0,0,0.036150237,0,0
947,0,0,0,0,0
948,0,0,0,6.718906853,0
949,0,0,0,0,4.482612421
950,0,0,0,0,0
951,0,0,0,0,0
952,0,0,11.0499416,0,0
953,0,0,0,0,0
954,0,0,0,0,0
955,0,0,0,0,0
956,0,0,0,0,6.912396844
957,0,0,0,0,0
958,0,0,0,0,0
959,0,0,0,0,0
960,0,0,0,4.54909212,0
961,0,0,0,0,0
962,0,0,0.09645094,0,0
963,0,0,0,0,0
964,0,0,0,0,0
965,0,0,1.867616516,0,0
966,0,0,0,0,40.16003313
967,0,0,0,0,0
968,0,0,0,0,0
969,0,0,0,0,0
970,0,0,0,0,0
971,0,0,1.881925421,0,62.73084737
